R,C,A,N,Total,T,seed,Tseq_mean,Tseq_std,Tpar_mean,Tpar_std,Speedup,Eficiencia
1000,100,100,100,1000000000,1,21,0.996040,0.004544,0.924407,0.003412,1.077491,1.077491
1000,100,100,100,1000000000,2,21,0.996040,0.004544,0.569046,0.004056,1.750368,0.875184
1000,100,100,100,1000000000,3,21,0.996040,0.004544,0.494105,0.002272,2.015847,0.671949
1000,100,100,100,1000000000,4,21,0.996040,0.004544,0.468018,0.005170,2.128209,0.532052
1000,100,100,100,1000000000,5,21,0.996040,0.004544,0.481700,0.003266,2.067760,0.413552
1000,100,100,100,1000000000,6,21,0.996040,0.004544,0.463531,0.001860,2.148810,0.358135
1000,100,100,100,1000000000,7,21,0.996040,0.004544,0.457412,0.001924,2.177555,0.311079
1000,100,100,100,1000000000,8,21,0.996040,0.004544,0.455337,0.004774,2.187479,0.273435
1000,100,100,100,1000000000,9,21,0.996040,0.004544,0.477596,0.004051,2.085528,0.231725
1000,100,100,100,1000000000,10,21,0.996040,0.004544,0.475722,0.010096,2.093744,0.209374
100,100,100,100,100000000,1,22,0.100813,0.000391,0.094263,0.001979,1.069486,1.069486
100,100,100,100,100000000,2,22,0.100813,0.000391,0.058619,0.000908,1.719801,0.859900
100,100,100,100,100000000,3,22,0.100813,0.000391,0.050664,0.000513,1.989835,0.663278
100,100,100,100,100000000,4,22,0.100813,0.000391,0.047897,0.000313,2.104787,0.526197
100,100,100,100,100000000,5,22,0.100813,0.000391,0.049059,0.000349,2.054934,0.410987
100,100,100,100,100000000,6,22,0.100813,0.000391,0.048083,0.000920,2.096645,0.349441
100,100,100,100,100000000,7,22,0.100813,0.000391,0.046894,0.000185,2.149806,0.307115
100,100,100,100,100000000,8,22,0.100813,0.000391,0.046517,0.000336,2.167229,0.270904
100,100,100,100,100000000,9,22,0.100813,0.000391,0.049642,0.000753,2.030801,0.225645
100,100,100,100,100000000,10,22,0.100813,0.000391,0.048797,0.000392,2.065967,0.206597
100,300,100,100,300000000,1,22,0.300275,0.002708,0.278136,0.002041,1.079598,1.079598
100,300,100,100,300000000,2,22,0.300275,0.002708,0.172787,0.001686,1.737833,0.868917
100,300,100,100,300000000,3,22,0.300275,0.002708,0.150182,0.000755,1.999407,0.666469
100,300,100,100,300000000,4,22,0.300275,0.002708,0.142587,0.001701,2.105907,0.526477
100,300,100,100,300000000,5,22,0.300275,0.002708,0.146592,0.000728,2.048372,0.409674
100,300,100,100,300000000,6,22,0.300275,0.002708,0.141650,0.000381,2.119838,0.353306
100,300,100,100,300000000,7,22,0.300275,0.002708,0.139547,0.000439,2.151784,0.307398
100,300,100,100,300000000,8,22,0.300275,0.002708,0.142289,0.007374,2.110318,0.263790
100,300,100,100,300000000,9,22,0.300275,0.002708,0.145574,0.000806,2.062697,0.229189
100,300,100,100,300000000,10,22,0.300275,0.002708,0.143771,0.001029,2.088564,0.208856
100,500,100,100,500000000,1,22,0.504495,0.001327,0.469413,0.003228,1.074736,1.074736
100,500,100,100,500000000,2,22,0.504495,0.001327,0.294187,0.002726,1.714879,0.857439
100,500,100,100,500000000,3,22,0.504495,0.001327,0.259318,0.004009,1.945468,0.648489
100,500,100,100,500000000,4,22,0.504495,0.001327,0.245124,0.005749,2.058122,0.514530
100,500,100,100,500000000,5,22,0.504495,0.001327,0.251265,0.001624,2.007820,0.401564
100,500,100,100,500000000,6,22,0.504495,0.001327,0.242464,0.000734,2.080701,0.346783
100,500,100,100,500000000,7,22,0.504495,0.001327,0.243718,0.006134,2.069995,0.295714
100,500,100,100,500000000,8,22,0.504495,0.001327,0.237000,0.001345,2.128671,0.266084
100,500,100,100,500000000,9,22,0.504495,0.001327,0.249345,0.001982,2.023281,0.224809
100,500,100,100,500000000,10,22,0.504495,0.001327,0.246904,0.001303,2.043284,0.204328
100,700,100,100,700000000,1,22,0.707325,0.002106,0.656338,0.002070,1.077684,1.077684
100,700,100,100,700000000,2,22,0.707325,0.002106,0.413303,0.011276,1.711396,0.855698
100,700,100,100,700000000,3,22,0.707325,0.002106,0.360537,0.004078,1.961865,0.653955
100,700,100,100,700000000,4,22,0.707325,0.002106,0.340652,0.004329,2.076386,0.519096
100,700,100,100,700000000,5,22,0.707325,0.002106,0.350066,0.000880,2.020548,0.404110
100,700,100,100,700000000,6,22,0.707325,0.002106,0.341062,0.003278,2.073890,0.345648
100,700,100,100,700000000,7,22,0.707325,0.002106,0.336524,0.003582,2.101856,0.300265
100,700,100,100,700000000,8,22,0.707325,0.002106,0.331892,0.001660,2.131190,0.266399
100,700,100,100,700000000,9,22,0.707325,0.002106,0.348798,0.001820,2.027893,0.225321
100,700,100,100,700000000,10,22,0.707325,0.002106,0.344766,0.003373,2.051609,0.205161
100,900,100,100,900000000,1,22,0.888539,0.003676,0.822701,0.001622,1.080027,1.080027
100,900,100,100,900000000,2,22,0.888539,0.003676,0.507553,0.002664,1.750633,0.875316
100,900,100,100,900000000,3,22,0.888539,0.003676,0.443812,0.003451,2.002062,0.667354
100,900,100,100,900000000,4,22,0.888539,0.003676,0.417879,0.003797,2.126307,0.531577
100,900,100,100,900000000,5,22,0.888539,0.003676,0.431812,0.001333,2.057699,0.411540
100,900,100,100,900000000,6,22,0.888539,0.003676,0.417388,0.001990,2.128808,0.354801
100,900,100,100,900000000,7,22,0.888539,0.003676,0.412084,0.003833,2.156208,0.308030
100,900,100,100,900000000,8,22,0.888539,0.003676,0.409598,0.010208,2.169295,0.271162
100,900,100,100,900000000,9,22,0.888539,0.003676,0.429008,0.004954,2.071148,0.230128
